seller,make,model,year,capacity,fuel,horse power,transmission,drive train,body type,doors,seats,color,state,price,serviced at aso,first owner,damaged
Private,Peugeot,Boxer,2007,2198,Diesel,101,Manual,FWD,Sedan,4.0,3.0,White,Used,45000,False,False,False
Private,BMW,X3,2005,1995,Diesel,150,Manual,4WD (automatic),SUV,5.0,5.0,Silver,Used,21500,False,False,False
Private,Toyota,Auris,2014,1798,Hybrid,99,Automatic,FWD,Compact,5.0,5.0,Brown,Used,52700,True,False,False
Private,Volkswagen,Golf,2002,1896,Diesel,100,Manual,FWD,Compact,3.0,5.0,Green,Used,2800,False,False,True
Private,Opel,Corsa,2007,1229,Petrol,80,Manual,FWD,City cars,5.0,5.0,Blue,Used,13700,False,False,False
Dealer,Audi,A3,2008,1896,Diesel,105,Manual,,Cabriolet,3.0,4.0,White,Used,27900,False,False,False
Dealer,Volkswagen,Passat,2018,1984,Petrol,220,Automatic,FWD,Sedan,4.0,5.0,Black,Used,99899,True,True,False
Private,Chrysler,Town & Country,2015,3605,Petrol,283,Automatic,FWD,Minivan,5.0,7.0,Other,Used,43900,False,False,False
Private,Seat,Alhambra,2009,1984,Petrol,115,Manual,FWD,Minivan,5.0,5.0,Other,Used,20900,True,False,False
Private,Audi,A5,2012,1798,Petrol,170,Manual,,Sedan,5.0,,Brown,Used,55800,False,False,False
Private,Mercedes-Benz,Klasa C,2002,2799,Petrol,197,Automatic,RWD,Coupe,5.0,4.0,Blue,Used,11700,True,False,False
Dealer,Škoda,Superb,2012,1968,Diesel,170,Manual,4WD (automatic),station wagon,5.0,5.0,Blue,Used,47000,False,False,False
Dealer,Škoda,Yeti,2009,1197,Petrol,105,Manual,,SUV,5.0,5.0,Silver,Used,24990,True,False,False
Private,Citroën,C5,2010,2992,Diesel,241,Automatic,FWD,station wagon,4.0,5.0,Black,Used,32900,False,False,False
Private,Mitsubishi,Pajero,2014,3200,Diesel,200,Automatic,4WD (automatic),SUV,5.0,,White,Used,105000,True,True,False
Private,Dacia,Duster,2010,1461,Diesel,90,Manual,FWD,SUV,5.0,5.0,Silver,Used,25700,True,False,False
Private,Audi,A3,2008,1896,Diesel,105,Manual,FWD,Compact,5.0,5.0,Gray,Used,25500,False,False,False
Private,Opel,Astra,2013,1598,Petrol,115,Automatic,,station wagon,5.0,5.0,Brown,Used,38900,False,False,False
Private,Audi,Q7,2010,4134,Diesel,340,Automatic,4WD (permanent),SUV,5.0,5.0,Silver,Used,63960,True,False,False
Private,Ford,Fiesta,2013,1242,Petrol,82,Manual,FWD,City cars,3.0,5.0,Black,Used,19999,False,False,False
Private,BMW,Seria 5,2019,1995,Diesel,190,Automatic,RWD,Sedan,5.0,5.0,Black,Used,82000,True,False,False
Private,Audi,A6 Allroad,2001,2671,Petrol+LPG,250,Automatic,4WD (permanent),station wagon,5.0,5.0,Gray,Used,12000,False,False,False
Private,Peugeot,508,2011,1997,Diesel,163,Manual,FWD,station wagon,5.0,5.0,White,Used,41500,False,False,False
Private,Audi,A6,2017,1968,Diesel,190,Automatic,FWD,Sedan,4.0,5.0,Black,Used,137000,True,True,False
Private,Toyota,Verso,2016,1798,Petrol,147,Manual,FWD,Minivan,5.0,7.0,Gray,Used,80000,True,True,False
Private,Opel,Astra,2005,1598,Petrol,105,Manual,FWD,Compact,5.0,5.0,Black,Used,9500,False,False,False
Private,Volkswagen,Polo,2015,1422,Diesel,90,Manual,FWD,City cars,5.0,5.0,Red,Used,25900,True,False,False
Private,Opel,Mokka,2018,1364,Petrol,140,Automatic,FWD,SUV,5.0,5.0,Gray,Used,77700,True,False,False
Private,Jaguar,XE,2017,1997,Petrol,250,Automatic,RWD,Sedan,4.0,5.0,Black,Used,86000,False,False,False
Private,Nissan,Juke,2018,1598,Petrol+LPG,117,Automatic,FWD,SUV,5.0,5.0,White,Used,63700,False,True,False
Private,BMW,X5,2011,2993,Diesel,286,Automatic,4WD (permanent),SUV,5.0,5.0,Black,Used,67900,True,False,False
Private,Subaru,Forester,2014,1998,Petrol,240,Automatic,4WD (permanent),SUV,5.0,5.0,Black,Used,71000,True,True,False
Private,Ford,Focus,2015,1560,Diesel,115,Manual,FWD,station wagon,5.0,5.0,White,Used,30000,True,False,False
Dealer,Opel,Mokka,2013,1598,Petrol,115,Manual,,SUV,5.0,5.0,Black,Used,40900,False,True,False
Dealer,Volkswagen,Tiguan,2016,1968,Diesel,150,Automatic,4WD (permanent),SUV,5.0,5.0,Gray,Used,26796,True,False,True
Private,Jeep,Cherokee,2015,1956,Diesel,170,Automatic,4WD (automatic),SUV,5.0,5.0,White,Used,86000,True,True,False
Dealer,Toyota,Auris,2013,1998,Diesel,124,Manual,FWD,Compact,5.0,5.0,Other,Used,33900,True,True,False
Private,Škoda,Octavia,2008,1896,Diesel,105,Manual,,station wagon,5.0,5.0,Silver,Used,10500,False,False,False
Dealer,Mazda,2,2015,1496,Petrol,90,Manual,FWD,City cars,5.0,5.0,Black,Used,44990,True,False,False
Private,Opel,Corsa,2016,1398,Petrol,90,Manual,FWD,City cars,3.0,5.0,Red,Used,32900,False,False,False
Dealer,Ford,Mondeo,2018,1997,Diesel,180,Manual,FWD,station wagon,5.0,5.0,White,Used,81900,True,True,False
Private,Opel,Mokka,2014,1364,Petrol,140,Manual,4WD (automatic),SUV,5.0,5.0,Gray,Used,51300,True,False,False
Private,BMW,Seria 5,2004,4398,Petrol,333,Manual,RWD,station wagon,5.0,5.0,Blue,Used,22700,False,False,False
Private,Renault,Laguna,2006,1998,Petrol,170,Manual,,station wagon,5.0,5.0,Black,Used,8900,False,False,False
Private,Mercedes-Benz,CL,2008,6208,Petrol,525,Automatic,RWD,Coupe,2.0,4.0,Silver,Used,183270,False,False,False
Dealer,Ford,Focus C-Max,2016,1997,Diesel,150,Manual,FWD,Minivan,5.0,5.0,Black,Used,52000,False,False,False
Dealer,Ford,Focus C-Max,2016,1997,Diesel,150,Manual,FWD,Minivan,5.0,5.0,Black,Used,52000,False,False,False
Private,BMW,X3,2007,2993,Diesel,218,Manual,4WD (permanent),SUV,5.0,5.0,Gray,Used,35900,False,False,False
Private,Citroën,C4,2012,1397,Petrol,95,Manual,,Compact,5.0,5.0,Gray,Used,22700,True,False,False
Private,Tesla,Model 3,2021,,Electric,325,Automatic,RWD,Sedan,4.0,5.0,Gray,Used,199000,False,False,False
Private,Peugeot,208,2015,1560,Diesel,75,Manual,FWD,City cars,5.0,5.0,White,Used,27900,True,False,False
Private,Mazda,6,2017,2488,Petrol,192,Automatic,FWD,Sedan,4.0,5.0,Gray,Used,79900,False,True,False
Private,Audi,A4,2013,1984,Petrol,224,Automatic,4WD (permanent),Sedan,4.0,5.0,Black,Used,64000,False,False,False
