seller,make,model,year,capacity,fuel,horse power,transmission,drive train,body type,doors,seats,color,state,price,serviced at aso,first owner,damaged
Dealer,Ford,Focus,2018,1498,Diesel,95,Manual,FWD,station wagon,5.0,5.0,Gray,Used,44900,True,True,False
Dealer,Škoda,Octavia,2019,1598,Diesel,115,Manual,FWD,Sedan,5.0,5.0,Black,Used,75200,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,149,Manual,FWD,station wagon,5.0,5.0,Black,Used,53100,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,63200,True,True,False
Dealer,Opel,Insignia,2018,1490,Petrol,165,Manual,FWD,station wagon,5.0,5.0,Gray,Used,71800,True,True,False
Dealer,Peugeot,508,2017,1997,Diesel,150,Manual,FWD,station wagon,4.0,5.0,Black,Used,60400,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,64300,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,63200,True,True,False
Dealer,Opel,Astra,2017,1598,Diesel,110,Manual,,station wagon,5.0,5.0,Gray,Used,47900,True,True,False
Dealer,Opel,Insignia,2018,1598,Diesel,136,Manual,FWD,station wagon,5.0,5.0,Black,Used,81200,True,True,False
Dealer,Peugeot,208,2016,1560,Diesel,99,Manual,FWD,City cars,5.0,5.0,Gray,Used,32400,True,True,False
Dealer,Seat,Toledo,2018,999,Petrol,95,Manual,FWD,Sedan,5.0,5.0,Silver,Used,47800,True,True,False
Dealer,Seat,Toledo,2017,1598,Diesel,116,Manual,FWD,Sedan,5.0,5.0,Silver,Used,44100,True,True,False
Dealer,Škoda,Octavia,2017,1968,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Gray,Used,60500,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,47800,True,True,False
Dealer,Ford,Mondeo,2016,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,41000,True,True,False
Private,Ford,Focus,2007,1596,Petrol,100,Manual,,Compact,5.0,5.0,Green,Used,10000,False,True,False
Dealer,Honda,CR-V,2016,1597,Diesel,160,Automatic,4WD (automatic),SUV,5.0,5.0,Claret,Used,87900,True,True,False
Private,SsangYong,Tivoli,2015,1597,Diesel,115,Manual,FWD,SUV,5.0,5.0,Silver,Used,41900,False,False,False
Private,Volkswagen,Passat,2013,1968,Diesel,177,Automatic,4WD (automatic),station wagon,5.0,5.0,White,Used,54900,True,False,False
Dealer,Volvo,XC 40,2018,1969,Diesel,190,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,149900,True,True,False
Dealer,Kia,Pro_cee'd,2022,1500,Petrol,160,Manual,FWD,Compact,,5.0,Gray,New,121400,False,False,False
Dealer,Kia,Sportage,2022,1600,Petrol,230,Automatic,FWD,SUV,5.0,5.0,Red,New,208400,False,False,False
Private,Mercedes-Benz,CLS,2006,2987,Diesel,224,Automatic,RWD,Coupe,4.0,4.0,Brown,Used,36000,False,False,False
Dealer,Renault,Koleos,2011,1995,Diesel,150,Manual,4WD (automatic),SUV,5.0,5.0,White,Used,33900,True,False,False
Dealer,Ford,Tourneo Courier,2017,1500,Diesel,75,Manual,FWD,Minivan,5.0,5.0,Blue,Used,51900,True,True,False
Dealer,Volkswagen,Passat,2017,2000,Diesel,150,Manual,FWD,Sedan,5.0,5.0,Blue,Used,82900,True,True,False
Dealer,Renault,Captur,2019,1333,Petrol,130,Manual,FWD,SUV,5.0,5.0,Red,Used,79990,True,True,False
Private,Honda,Jazz,2011,1339,Petrol,100,Manual,FWD,Minivan,5.0,5.0,Brown,Used,33000,True,True,False
Private,Kia,Ceed,2007,1396,Petrol,109,Manual,FWD,Compact,5.0,5.0,Silver,Used,17999,True,False,False
Private,Citroën,C3 Picasso,2009,1397,Petrol+LPG,95,Manual,FWD,Compact,5.0,5.0,Blue,Used,17800,True,True,False
Private,Volkswagen,Passat,2010,1390,Petrol,122,Manual,FWD,Sedan,5.0,5.0,White,Used,26500,False,False,False
Private,Renault,Laguna,2010,1998,Petrol,170,Automatic,,station wagon,5.0,5.0,Black,Used,19000,False,False,True
Dealer,Mercedes-Benz,GLC,2022,1991,Hybrid,320,Automatic,4WD (permanent),SUV,5.0,5.0,Silver,Used,311473,False,False,False
Dealer,Dodge,Charger,2020,6417,Petrol,492,Automatic,RWD,Sedan,4.0,5.0,Gray,Used,199900,False,False,False
Dealer,Renault,Clio,2020,999,Petrol,100,Manual,FWD,City cars,5.0,5.0,Silver,Used,64500,False,False,False
Dealer,Renault,Clio,2012,1461,Diesel,75,Manual,FWD,City cars,3.0,2.0,White,Used,12900,False,False,False
Private,Renault,Thalia,2001,1390,Petrol,75,Manual,FWD,Sedan,4.0,5.0,White,Used,3800,False,True,False
Dealer,BMW,Seria 3,2021,1998,Hybrid,184,Automatic,RWD,station wagon,5.0,5.0,Blue,New,249900,False,False,False
Dealer,Dacia,Sandero Stepway,2015,898,Petrol,90,Automatic,FWD,Compact,5.0,5.0,Blue,Used,34900,False,False,False
Private,Fiat,500X,2019,999,Petrol,120,Manual,FWD,SUV,5.0,5.0,Red,Used,63900,False,False,False
Dealer,Peugeot,3008,2019,1499,Diesel,130,Manual,FWD,SUV,5.0,5.0,Gray,Used,97800,False,False,False
Dealer,Toyota,Corolla,2019,1197,Petrol,116,Manual,FWD,station wagon,5.0,5.0,White,Used,78900,True,True,False
Dealer,Kia,Sportage,2022,1600,Petrol,230,Automatic,FWD,SUV,5.0,5.0,Red,New,208400,False,False,False
Dealer,Kia,Sportage,2022,1600,Hybrid,230,Automatic,FWD,SUV,5.0,5.0,Blue,New,192300,False,False,False
Private,Škoda,Octavia,2006,1598,Petrol,115,Manual,FWD,station wagon,5.0,5.0,Blue,Used,18600,True,False,False
Dealer,Audi,Q5,2008,1984,Petrol,211,Automatic,4WD (automatic),SUV,5.0,5.0,Other,Used,49999,False,False,False
Dealer,Mercedes-Benz,Klasa V,2019,1950,Diesel,239,Automatic,4WD (automatic),Minivan,4.0,4.0,Gray,Used,359000,True,True,False
Private,Ford,Focus,2011,1596,Petrol,125,Manual,FWD,Compact,5.0,5.0,Black,Used,29999,True,True,False
Private,Ford,Mondeo,2016,1560,Diesel,115,Manual,,station wagon,5.0,,Black,Used,46800,True,True,False
Dealer,Peugeot,308,2018,1560,Diesel,99,Manual,FWD,City cars,5.0,5.0,White,Used,45000,True,True,False
Private,Peugeot,Partner,2013,1560,Diesel,92,Manual,FWD,Minivan,5.0,5.0,Green,Used,23200,False,False,False
Dealer,Lancia,Delta,2013,1600,Diesel,120,Manual,FWD,Compact,5.0,5.0,Other,Used,19900,True,False,False
Private,Toyota,Yaris,2015,1329,Petrol,99,Manual,FWD,City cars,5.0,5.0,White,Used,41000,True,True,False
Dealer,Seat,Toledo,2018,999,Petrol,95,Manual,FWD,Sedan,5.0,5.0,Silver,Used,47600,True,True,False
Dealer,Škoda,Fabia,2018,999,Petrol,95,Manual,FWD,City cars,5.0,5.0,White,Used,42700,True,True,False
Dealer,Škoda,Fabia,2017,1422,Diesel,105,Manual,FWD,Compact,5.0,5.0,Red,Used,43500,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,62500,True,True,False
Dealer,Seat,Toledo,2017,1598,Diesel,116,Manual,FWD,Sedan,5.0,5.0,Silver,Used,42600,True,True,False
Dealer,Opel,Insignia,2018,1598,Diesel,136,Manual,FWD,station wagon,5.0,5.0,Black,Used,76100,True,True,False
Dealer,Ford,Focus,2018,999,Petrol,125,Manual,,Compact,5.0,5.0,Gray,Used,77500,True,True,False
Dealer,Seat,Toledo,2018,999,Petrol,95,Manual,FWD,Sedan,5.0,5.0,Silver,Used,47800,True,True,False
Dealer,Peugeot,508,2015,1997,Diesel,150,Manual,FWD,Sedan,4.0,5.0,Black,Used,50600,True,True,False
Dealer,Opel,Insignia,2018,1598,Diesel,136,Manual,FWD,Sedan,5.0,5.0,Black,Used,88300,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,Sedan,5.0,5.0,Black,Used,63400,True,True,False
Dealer,Citroën,C3,2022,1199,Petrol,110,Automatic,FWD,City cars,5.0,5.0,White,New,92590,False,False,False
Dealer,Opel,Insignia,2018,1598,Diesel,136,Manual,FWD,station wagon,5.0,5.0,Black,Used,82800,True,True,False
Dealer,Peugeot,508,2017,1997,Diesel,149,Manual,FWD,station wagon,5.0,5.0,Black,Used,50400,True,True,False
Dealer,Renault,Megane,2019,1332,Petrol,140,Automatic,FWD,station wagon,5.0,5.0,Beige,Used,74900,True,True,False
Dealer,Škoda,Fabia,2018,999,Petrol,95,Manual,FWD,station wagon,5.0,5.0,White,Used,36600,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,78300,True,True,False
Dealer,Seat,Toledo,2018,999,Petrol,95,Manual,FWD,Sedan,5.0,5.0,Silver,Used,47800,True,True,False
Dealer,Seat,Toledo,2017,1598,Diesel,116,Manual,FWD,Sedan,5.0,5.0,Silver,Used,44100,True,True,False
Dealer,Škoda,Octavia,2017,1968,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Gray,Used,60500,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,150,Manual,FWD,station wagon,5.0,5.0,Black,Used,47800,True,True,False
Private,Mercedes-Benz,Klasa V,2016,2143,Diesel,190,Automatic,RWD,Minivan,4.0,8.0,White,Used,125000,False,False,False
Private,Mazda,3,2016,1998,Petrol,120,Manual,FWD,Sedan,5.0,5.0,White,Used,48500,True,False,False
Dealer,BMW,Seria 5,2010,1995,Diesel,184,Manual,RWD,Sedan,4.0,5.0,Gray,Used,49999,True,False,False
Dealer,Volkswagen,Passat,2018,1968,Diesel,150,Automatic,FWD,station wagon,5.0,5.0,White,Used,89900,False,True,False
Dealer,Opel,Combo,2017,1248,Diesel,95,Manual,FWD,Minivan,3.0,2.0,Red,Used,42600,True,True,False
Dealer,Seat,Toledo,2017,1598,Diesel,115,Manual,FWD,Sedan,5.0,5.0,Silver,Used,47300,True,True,False
Dealer,Opel,Insignia,2017,1598,Diesel,136,Manual,FWD,station wagon,5.0,5.0,Gray,Used,64800,True,True,False
Dealer,Škoda,Fabia,2017,1422,Diesel,105,Manual,FWD,City cars,5.0,5.0,Red,Used,43000,True,True,False
Dealer,Seat,Toledo,2016,1598,Diesel,116,Manual,FWD,Sedan,5.0,5.0,Silver,Used,33200,True,True,False
Dealer,Opel,Insignia,2017,1956,Diesel,210,Automatic,4WD (automatic),Sedan,5.0,5.0,Black,Used,100300,True,True,False
Dealer,Škoda,Fabia,2018,999,Petrol,95,Manual,FWD,station wagon,5.0,5.0,White,Used,41200,True,True,False
Dealer,Opel,Insignia,2019,1490,Petrol,165,Manual,FWD,Sedan,5.0,5.0,Black,Used,90700,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,149,Manual,FWD,station wagon,5.0,5.0,Black,Used,70300,True,True,False
Dealer,Peugeot,508,2014,1997,Diesel,163,Manual,FWD,station wagon,5.0,5.0,Black,Used,35700,True,True,False
Dealer,Peugeot,208,2016,1560,Diesel,99,Manual,FWD,City cars,5.0,5.0,Gray,Used,33600,True,True,False
Dealer,Peugeot,508,2018,1997,Diesel,149,Manual,FWD,station wagon,5.0,5.0,Black,Used,94300,True,True,False
Dealer,Seat,Toledo,2018,999,Petrol,95,Manual,FWD,Sedan,5.0,5.0,Silver,Used,44500,True,True,False
Dealer,Ford,Focus,2018,999,Petrol,125,Manual,,Compact,5.0,5.0,Gray,Used,78200,True,True,False
Dealer,Renault,Talisman,2017,1598,Diesel,160,Automatic,,station wagon,5.0,5.0,Gray,Used,90000,True,True,False
Dealer,Volkswagen,Passat,2018,1968,Diesel,190,Automatic,FWD,Sedan,4.0,5.0,Black,Used,84100,True,True,False
Dealer,Seat,Toledo,2017,1598,Diesel,115,Manual,FWD,Sedan,5.0,5.0,Silver,Used,42000,True,True,False
Dealer,Citroën,C4,2022,,Electric,136,Automatic,FWD,Compact,5.0,5.0,White,New,161000,False,False,False
Private,Renault,Kangoo,2009,1461,Diesel,68,Manual,,Minivan,5.0,5.0,Red,Used,13300,False,False,False
Private,Volkswagen,Golf,2015,1984,Petrol,220,Automatic,FWD,Compact,5.0,5.0,White,Used,69900,False,False,False
Private,Seat,Altea,2008,1984,Petrol,200,Automatic,FWD,City cars,5.0,5.0,Black,Used,17999,True,False,False
Private,Seat,Ibiza,2003,1896,Diesel,130,Manual,FWD,City cars,5.0,5.0,Black,Used,7000,False,False,False
Dealer,Ford,Mondeo,2006,1998,Diesel,130,Manual,FWD,Sedan,5.0,5.0,Silver,Used,8990,True,False,False
Private,Fiat,500,1970,500,Petrol,20,Manual,FWD,Small cars,2.0,4.0,Red,Used,69900,False,False,False
Dealer,Mazda,3,2007,1349,Petrol,84,Manual,FWD,Compact,5.0,5.0,Silver,Used,8900,False,False,False
Dealer,Audi,A4,2020,1984,Petrol,265,Automatic,4WD (automatic),Sedan,4.0,5.0,Black,Used,154000,True,True,False
Dealer,Mercedes-Benz,Klasa A,2021,1332,Petrol,136,Automatic,FWD,Compact,5.0,5.0,White,Used,155000,True,True,False
Private,Ford,Galaxy,2017,1997,Diesel,150,Automatic,FWD,Minivan,5.0,7.0,Black,Used,32000,False,False,True
Dealer,Toyota,Auris,2016,1364,Diesel,90,Manual,FWD,station wagon,5.0,5.0,White,Used,32500,True,True,False
Dealer,Škoda,Superb,2018,1968,Diesel,150,Manual,,Sedan,5.0,5.0,Silver,Used,81500,False,False,False
Private,Jaguar,XJ,2012,2993,Diesel,275,Automatic,FWD,Sedan,4.0,5.0,Gray,Used,74999,True,False,False
Dealer,Land Rover,Defender,2022,2996,Diesel,300,Automatic,4WD (automatic),SUV,5.0,7.0,Beige,New,482390,True,True,False
Dealer,Mercedes-Benz,Klasa B,2019,1332,Petrol,163,Automatic,FWD,Compact,5.0,5.0,White,Used,137000,True,True,False
Private,Renault,Laguna,2010,1995,Diesel,180,Manual,FWD,Coupe,5.0,4.0,Black,Used,31900,False,False,False
Dealer,Mercedes-Benz,Klasa E,1992,2599,Petrol,160,Automatic,RWD,Sedan,4.0,5.0,Blue,Used,31900,True,False,False
Private,Audi,A8,2014,3993,Petrol,435,Automatic,,Sedan,4.0,5.0,Black,Used,148000,False,False,False
Dealer,MINI,Cooper S,2018,1998,Petrol,192,Manual,FWD,City cars,5.0,5.0,Red,Used,99900,True,True,False
Dealer,Ford,Kuga,2010,2521,Petrol,200,Automatic,4WD (automatic),SUV,5.0,5.0,Silver,Used,39900,True,True,False
Dealer,Kia,Ceed,2019,1353,Petrol,140,Automatic,FWD,station wagon,5.0,5.0,Red,Used,83990,True,True,False
Dealer,Mercedes-Benz,CLA,2017,1991,Petrol,184,Automatic,4WD (automatic),station wagon,5.0,5.0,White,Used,112000,True,False,False
Private,Kia,Carnival,2004,2902,Diesel,145,Manual,FWD,Minivan,5.0,7.0,Black,Used,11600,False,False,False
Private,Honda,Accord,2019,1995,Petrol,256,Automatic,,Sedan,4.0,5.0,Black,Used,119000,False,False,False
Private,Opel,Mokka,2015,1364,Petrol,140,Automatic,FWD,SUV,5.0,5.0,Black,Used,59900,True,False,False
Dealer,Mercedes-Benz,Klasa A,2021,1332,Petrol,136,Automatic,FWD,Compact,5.0,5.0,White,Used,139000,True,True,False
Private,Volkswagen,Golf,1999,1390,Petrol,75,Manual,,Compact,3.0,5.0,Red,Used,4600,False,False,False
Dealer,Peugeot,206 CC,2004,1587,Petrol,110,Manual,,Cabriolet,2.0,,Other,Used,3900,True,False,True
Dealer,Toyota,Aygo,2016,998,Petrol,70,Manual,FWD,Small cars,3.0,4.0,Red,Used,28900,True,True,False
Private,Ford,Kuga,2014,1997,Diesel,163,Manual,4WD (automatic),SUV,5.0,5.0,White,Used,63999,True,False,False
Private,Audi,A4,2018,1968,Diesel,150,Manual,FWD,station wagon,5.0,5.0,White,Used,75800,True,False,False
Dealer,Volkswagen,Tiguan,2022,1968,Diesel,150,Automatic,4WD (automatic),SUV,5.0,5.0,Gray,New,168570,False,False,False
Private,Jeep,Renegade,2016,1368,Petrol+LPG,140,Automatic,FWD,SUV,5.0,5.0,White,Used,79500,True,True,False
Dealer,Porsche,Panamera,2012,2967,Diesel,250,Automatic,,Sedan,5.0,4.0,Black,Used,124999,True,False,False
Dealer,Land Rover,Discovery,2022,2996,Diesel,300,Automatic,,SUV,5.0,5.0,White,New,453620,False,False,False
Private,Mazda,3,2016,1998,Petrol,165,Automatic,FWD,Sedan,5.0,5.0,Black,Used,55000,False,False,False
Dealer,Honda,Civic,2007,1798,Petrol,140,Manual,FWD,Compact,5.0,5.0,Silver,Used,27900,True,False,False
Private,Volkswagen,Tiguan,2012,1968,Diesel,110,Manual,FWD,SUV,5.0,5.0,Black,Used,3200,True,False,True
Private,Renault,Megane,2011,1397,Petrol,130,Manual,FWD,Compact,5.0,5.0,Blue,Used,29900,False,False,False
Dealer,Renault,Clio,2015,1149,Petrol+LPG,74,Manual,FWD,Compact,5.0,2.0,White,Used,11900,False,False,True
Private,Volkswagen,Golf,2008,1896,Diesel,105,Manual,FWD,station wagon,5.0,,Silver,Used,19900,False,False,False
Private,BMW,Seria 3,2003,2979,Petrol,231,Automatic,4WD (automatic),station wagon,5.0,5.0,Gray,Used,21000,False,False,False
Private,Saab,9-3,2008,1998,Petrol,210,Automatic,FWD,Cabriolet,2.0,4.0,Gold,Used,45000,False,False,False
Private,Renault,Laguna,2009,1598,Petrol,110,Manual,FWD,City cars,5.0,5.0,Claret,Used,18900,False,False,False
Dealer,BMW,Seria 5,2018,1995,Diesel,150,Automatic,RWD,Sedan,4.0,5.0,White,Used,137777,True,True,False
Dealer,Mercedes-Benz,GLC,2017,2996,Petrol,367,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,195800,False,False,False
Dealer,Toyota,Land Cruiser,2002,2982,Diesel,163,Manual,4WD (permanent),SUV,5.0,2.0,Silver,Used,38000,False,False,False
Dealer,Chrysler,300C,2006,2736,Petrol,193,Automatic,RWD,Sedan,4.0,5.0,Silver,Used,24888,False,False,False
Dealer,Mercedes-Benz,Klasa C,2021,1993,Diesel,200,Automatic,RWD,station wagon,4.0,5.0,Blue,Used,274000,True,True,False
Dealer,Volkswagen,Touran,2020,1968,Diesel,115,Automatic,FWD,Minivan,5.0,7.0,Black,Used,44000,False,False,True
Private,BMW,Seria 3,2003,2171,Petrol,170,Manual,,Sedan,5.0,,Silver,Used,14900,False,False,False
Dealer,BMW,Seria 5,2022,1998,Hybrid,184,Automatic,RWD,Sedan,4.0,5.0,White,New,298200,False,False,False
Dealer,Volkswagen,Arteon,2022,1984,Petrol,190,Automatic,FWD,station wagon,5.0,5.0,Blue,New,233790,False,False,False
Dealer,BMW,Seria 3,2013,1995,Diesel,143,Manual,,Sedan,4.0,,Black,Used,25800,True,True,True
Private,Opel,Insignia,2009,1956,Diesel,110,Manual,FWD,station wagon,5.0,5.0,Gray,Used,20900,False,False,False
Private,Volkswagen,Passat,2007,1984,Petrol,211,Automatic,FWD,station wagon,5.0,5.0,Black,Used,14800,False,False,False
Dealer,Volkswagen,Polo,2012,1198,Petrol,60,Manual,FWD,City cars,3.0,5.0,Black,Used,18999,True,True,False
Private,Audi,A3,2009,1598,Diesel,105,Manual,FWD,Compact,5.0,5.0,Black,Used,26800,False,False,False
Dealer,Mercedes-Benz,GLC,2020,1991,Petrol,197,Automatic,4WD (permanent),SUV,5.0,5.0,Gray,Used,249900,True,True,False
Dealer,Mercedes-Benz,Vito,2020,1749,Diesel,102,Manual,FWD,Minivan,4.0,3.0,White,Used,107000,False,True,False
Dealer,Mercedes-Benz,CLA,2021,1332,Petrol,136,Automatic,FWD,station wagon,5.0,5.0,White,Used,169900,True,True,False
Dealer,Mercedes-Benz,Klasa E,2021,1950,Diesel,195,Automatic,RWD,Sedan,4.0,5.0,Black,Used,218900,True,True,False
Dealer,Toyota,RAV4,2022,2487,Hybrid,177,Automatic,4WD (automatic),SUV,5.0,5.0,Black,New,191402,False,False,False
Dealer,Volvo,XC 60,2021,1969,Petrol,250,Automatic,4WD (automatic),SUV,5.0,5.0,White,Used,239000,True,True,False
Private,Opel,Astra,2017,1399,Petrol,149,Automatic,RWD,station wagon,5.0,5.0,Brown,Used,59900,True,True,False
Private,Fiat,Panda,2019,1242,Petrol,69,Manual,FWD,Small cars,5.0,5.0,Red,Used,42900,False,False,False
Private,Volkswagen,Polo,2002,1390,Petrol,75,Manual,FWD,City cars,5.0,5.0,Red,Used,6250,True,False,False
Private,Infiniti,Q70,2014,2993,Diesel,238,Automatic,4WD (automatic),SUV,4.0,5.0,Black,Used,95000,False,False,False
Dealer,Ford,Focus,2018,1596,Petrol,105,Manual,FWD,Sedan,5.0,5.0,Silver,Used,50900,False,True,False
Dealer,Volvo,V90,2020,1969,Hybrid,235,Automatic,4WD (automatic),station wagon,5.0,5.0,Gray,Used,262462,True,False,False
Dealer,Ford,Focus,2018,1596,Petrol,105,Manual,FWD,Sedan,,5.0,Silver,Used,51500,False,True,False
Dealer,Subaru,Forester,2017,1995,Petrol,150,Manual,4WD (permanent),SUV,5.0,5.0,Other,Used,92900,True,True,False
Private,Nissan,X-Trail,2016,1598,Diesel,130,Automatic,FWD,SUV,5.0,5.0,Black,Used,74500,True,True,False
Dealer,Toyota,Auris,2016,1364,Diesel,90,Manual,FWD,station wagon,5.0,5.0,White,Used,32500,True,True,False
Private,Audi,A3,1998,1595,Petrol+LPG,74,Manual,FWD,Small cars,3.0,5.0,Green,Used,3800,False,False,False
Private,Opel,Meriva,2006,1598,Petrol,100,Manual,,Minivan,5.0,,Black,Used,10900,False,False,False
Private,Kia,Sorento,2010,2199,Diesel,197,Manual,4WD (manual),SUV,5.0,5.0,Black,Used,20900,False,False,True
Dealer,Dacia,Duster,2022,999,Petrol+LPG,100,Manual,FWD,SUV,5.0,5.0,Other,New,83200,False,False,False
Dealer,Land Rover,Range Rover Sport,2008,3628,Diesel,272,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,40900,False,False,False
Dealer,Kia,Sportage,2022,1598,Hybrid,180,Automatic,FWD,SUV,5.0,5.0,White,New,184200,False,False,False
Dealer,Opel,Zafira,2010,2198,Petrol,150,Manual,,Minivan,5.0,7.0,Other,Used,10900,True,False,True
Private,Fiat,Panda,2005,1108,Petrol+LPG,54,Manual,FWD,Small cars,5.0,2.0,White,Used,4500,False,False,False
Private,Audi,A3,2016,1968,Diesel,150,Automatic,FWD,Compact,5.0,5.0,White,Used,76900,True,True,False
Dealer,Audi,100,1995,2460,Diesel,115,Automatic,FWD,station wagon,4.0,5.0,Blue,Used,16000,True,False,False
Private,Toyota,Yaris,2006,998,Petrol,69,Manual,FWD,City cars,3.0,5.0,Blue,Used,11900,True,False,False
Private,Citroën,C4 Cactus,2015,1560,Diesel,100,Manual,FWD,Compact,5.0,5.0,White,Used,42900,True,True,False
Dealer,Ford,EcoSport,2015,998,Petrol,125,Manual,FWD,SUV,5.0,5.0,White,Used,44999,True,False,False
Private,Audi,A8,1997,4172,Petrol,299,Automatic,,Sedan,4.0,,Blue,Used,19900,False,False,False
Dealer,Audi,A4,2021,1984,Hybrid,150,Automatic,FWD,Sedan,4.0,5.0,White,Used,209900,True,True,False
Dealer,Volkswagen,Touran,2018,1598,Diesel,116,Manual,FWD,Minivan,5.0,5.0,White,Used,86900,True,True,False
Private,Škoda,Octavia,2017,1598,Diesel,115,Automatic,FWD,station wagon,5.0,5.0,Black,Used,63700,True,False,False
Dealer,Audi,A6,2016,1968,Diesel,150,Automatic,FWD,Sedan,4.0,5.0,Other,Used,92900,True,True,False
Dealer,Opel,Insignia,2019,1490,Petrol,164,Manual,FWD,Compact,4.0,5.0,Black,Used,85200,True,True,False
Dealer,Seat,Toledo,2017,1598,Diesel,115,Manual,FWD,Sedan,5.0,5.0,Silver,Used,44200,True,True,False
Dealer,Opel,Insignia,2017,1598,Diesel,136,Manual,FWD,station wagon,5.0,5.0,Black,Used,79000,True,True,False
Dealer,Škoda,Fabia,2018,999,Petrol,95,Manual,FWD,station wagon,5.0,5.0,White,Used,46000,True,True,False
Dealer,Škoda,Fabia,2018,999,Petrol,110,Manual,FWD,Compact,5.0,5.0,White,Used,37200,True,True,False
Dealer,Volkswagen,Golf,2017,1395,Petrol,125,Manual,,Compact,5.0,5.0,White,Used,50800,True,True,False
Dealer,Opel,Combo,2017,1248,Diesel,95,Manual,FWD,station wagon,5.0,5.0,Red,Used,48600,True,True,False
Dealer,Škoda,Octavia,2017,1968,Diesel,149,Manual,FWD,station wagon,5.0,5.0,Gray,Used,72200,True,True,False
Dealer,Škoda,Fabia,2018,1422,Diesel,105,Manual,FWD,Compact,5.0,5.0,Red,Used,51600,True,True,False
Dealer,BMW,Seria 3,2018,1995,Diesel,150,Automatic,RWD,station wagon,5.0,5.0,White,Used,109000,True,True,False
Dealer,Dacia,Duster,2017,1461,Diesel,109,Manual,4WD (automatic),SUV,5.0,5.0,Silver,Used,53200,True,True,False
Dealer,Škoda,Octavia,2017,1968,Diesel,149,Manual,FWD,station wagon,5.0,5.0,Gray,Used,72300,True,True,False
Private,BMW,Seria 5,2006,2993,Diesel,231,Automatic,RWD,Sedan,4.0,5.0,Gray,Used,18900,False,False,True
Private,Saab,9-3,2008,1998,Petrol,210,Automatic,FWD,Cabriolet,2.0,4.0,Gold,Used,45000,False,False,False
Dealer,BMW,M4,2022,2993,Petrol,510,Automatic,4WD (permanent),Coupe,2.0,4.0,Red,New,484900,False,False,False
Dealer,Volkswagen,up!,2017,999,Petrol,60,Manual,FWD,Small cars,5.0,4.0,White,Used,38900,True,True,False
Private,Peugeot,3008,2018,1199,Petrol,130,Manual,FWD,SUV,5.0,5.0,White,Used,86900,True,True,False
Private,Opel,Meriva,2007,1598,Petrol,100,Manual,,Minivan,5.0,,Silver,Used,10900,False,False,False
Private,BMW,X3,2017,1997,Petrol,245,Automatic,4WD (permanent),SUV,5.0,5.0,Red,Used,99999,False,False,False
Dealer,Volvo,V40,2016,1498,Petrol,152,Automatic,FWD,Compact,4.0,5.0,White,Used,73900,True,True,False
Dealer,Peugeot,508,2012,1560,Diesel,114,Manual,FWD,Sedan,4.0,5.0,Blue,Used,29900,False,False,False
Private,Audi,A3,1998,1595,Petrol+LPG,74,Manual,FWD,Small cars,3.0,5.0,Green,Used,3800,False,False,False
Private,Opel,Meriva,2006,1598,Petrol,100,Manual,,Minivan,5.0,,Black,Used,10900,False,False,False
Private,Kia,Sorento,2010,2199,Diesel,197,Manual,4WD (manual),SUV,5.0,5.0,Black,Used,20900,False,False,True
Dealer,Dacia,Duster,2022,999,Petrol+LPG,100,Manual,FWD,SUV,5.0,5.0,Other,New,83200,False,False,False
Dealer,Land Rover,Range Rover Sport,2008,3628,Diesel,272,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,40900,False,False,False
Dealer,Kia,Sportage,2022,1598,Hybrid,180,Automatic,FWD,SUV,5.0,5.0,White,New,184200,False,False,False
Dealer,Opel,Zafira,2010,2198,Petrol,150,Manual,,Minivan,5.0,7.0,Other,Used,10900,True,False,True
Private,Fiat,Panda,2005,1108,Petrol+LPG,54,Manual,FWD,Small cars,5.0,2.0,White,Used,4500,False,False,False
Private,Audi,A3,2016,1968,Diesel,150,Automatic,FWD,Compact,5.0,5.0,White,Used,76900,True,True,False
Dealer,Audi,100,1995,2460,Diesel,115,Automatic,FWD,station wagon,4.0,5.0,Blue,Used,16000,True,False,False
